,title,viewCount,likeCount,dislikeCount,commentCount,label
81,笛が落ちずにすんだ奴,106266,4044,17,363,1
82,しょーもないことでもめる奴,202907,2832,43,375,1
83,知らんOBの挨拶ダルイ奴,389432,6881,105,451,2
84,デビュー曲のタイトル勝手に決める奴,364201,3195,89,351,2
85,頭おかしい奴,573949,7358,157,932,2
86,何回も確認する奴,416422,4666,108,407,2
87,人質チョイスミスった奴,2822377,44031,1312,1845,2
88,何回も生き返らされる奴,1266020,12105,482,785,2
89,独裁者の卵な奴,1085956,13494,370,1537,2
90,一瞬変なこと言った医者な奴,282824,4789,100,716,1
91,キングオブコント決勝でやったネタ「野球部」をする奴,617545,8640,232,1362,2
92,キングオブコント決勝でやったネタ「空き巣」をする奴,776288,8431,206,1727,2
93,ウケ過ぎてテンション下がる奴,189729,2906,49,1421,1
94,路上でやるには向いてない漫才する奴,192534,2944,68,789,1
95,転校初日に熟睡する奴,278452,4385,87,998,1
96,焦らんタイプの奴,372460,5442,100,963,2
97,カラオケ延長するかどうかわからん奴,326700,3863,198,1034,2
98,革ジャン着てる和食料理人な奴,157138,2266,53,634,1
99,笑うときバシバシ叩く奴,134282,2378,43,902,1
100,ツッコミ下手な関東人に頑張って喋りかける奴,251898,4630,89,1213,1
101,無名のミュージシャンに取材する奴,244762,2568,78,634,1
102,失礼なこと言われてもグッとこらえる奴,155558,1964,57,546,1
103,「続いてはジョージのコーナーです！」って言わされる奴,175108,2407,71,868,1
104,客逃す奴,129549,1845,40,419,1
105,チャラ男番長のネタを見る奴 パート38,62433,795,4820,676,0
106,そりゃモノマネされる奴をモノマネする南っていう奴,133502,3213,77,975,1
107,バイト面接を受ける、関東出身のツッコミ下手な人な奴,391945,6803,170,1794,2
108,昼休みにタトゥー入れた奴,705126,5570,290,1169,2
109,低姿勢頑固大将な奴,284461,3101,90,946,1
110,客どかす奴,258267,3004,113,890,1
111,タトゥーの痛み耐えられへん奴,443901,4756,131,1091,2
112,南っていう奴〜バイトの面接〜,241422,4099,99,840,1
113,写真撮る時、顔にチャラさ出る奴,226747,3373,108,630,1
114,ヤツって言う奴,294528,3562,74,725,1
115,再会を予言したこと忘れる奴,151796,2203,49,594,1
116,顔つる奴,110818,2210,40,642,1
117,言語覚える天才な奴,1093674,13233,388,2133,2
118,勇気、持続せーへん奴,144789,1941,60,495,1
119,入院してる病室教えへん奴,650018,7455,208,1047,2
120,密着ＯＫ、カメラＮＧな奴,325293,3508,116,653,2
121,木片でどつく奴,134985,1935,34,574,1
122,そば息子やのにダメ息子の奴,128618,1900,56,613,1
123,堂々としてたけど本当は怖かった奴,444517,5769,210,1146,2
124,日常、オノバサミな奴,94605,1561,31,425,0
125,地声良いのに歌声普通の奴,1070326,10886,204,959,2
126,空手でスコップ使う奴,217138,2261,72,669,1
127,３分の漫才を１分に縮める奴,305810,2880,116,702,2
128,南っていう奴〜店予約電話〜,579460,9616,182,1155,2
129,デコ狭いのにキレやすい奴,119682,1690,57,518,1
130,チャラ男番長のネタを見る奴 パート35,58664,591,3707,621,0
131,「あちゃー」って言うてくる奴,178147,2594,57,689,1
132,なかよしっぱなな奴,57481,1471,52,507,0
133,サラ毛ヘルメット坊主の奴,82299,1522,29,519,0
134,南っていう奴〜銀行強盗〜,159656,3709,45,781,1
135,ブラジル卓球のカルデラノをしてる奴,97300,1565,50,660,0
136,１年間けん玉練習するって言って、しなかった奴,472856,5079,168,1038,2
137,無駄にムキムキなった奴,119889,2310,32,580,1
138,話し合い進まない奴,127240,1905,49,632,1
139,「つー！」って言う奴,163352,2434,50,706,1
140,わだかまり感じる奴,207592,2086,51,555,1
141,南っていう奴〜家庭教師〜,268110,4844,74,773,1
142,会話の間で黙る奴,152599,2354,47,508,1
143,お互いにきしょいと思い合ってる奴,1236083,15759,404,2348,2
144,殴られるん下手な奴,172072,2919,53,506,1
145,高学歴やけど不採用なる奴,861764,6428,406,976,2
146,珍しい名前のせいで不採用なる奴,959413,9044,320,1290,2
147,滑舌良すぎて、話逸れる奴,480573,6404,222,1139,2
148,壁茶色やから帰る奴,148751,2193,51,396,1
149,「個々あっつー」って言う奴,171723,3306,100,684,1
150,くすぐりたい奴とネタ入りたい奴,157872,1979,63,663,1
151,ギャグ魔神に「サブい」って言う奴,353649,4963,146,1102,2
152,結局何も生み出さない奴,204031,2210,67,516,1
153,あまりにも感覚違う奴,370166,4204,101,770,2
154,正直者やけどヤバい奴,430026,4022,126,614,2
155,相方を理解できない奴,311496,5170,145,772,2
156,けん玉成功したら1000万円もらえる奴,204831,2465,81,496,1
157,コメント読む奴〜5月編〜,90218,1969,31,609,0
158,南っていう奴〜停電〜,351661,7517,63,610,2
159,死にかけている人に気付かない奴,269774,3218,93,545,1
160,隣人うるさい奴,326888,4642,135,682,2
161,高卒と中卒の奴,704164,7444,372,1247,2
162,南っていう奴〜サングラス〜,245485,3925,59,596,1
163,変な奴になってもた奴,211803,2994,59,439,1
164,イメージで名前つける奴,256471,2846,97,486,1
165,待てない空気作る奴,207699,2226,63,393,1
166,飯食うてる奴,199880,2035,67,358,1
167,コントと現実の違い見せる奴,262784,3754,95,590,1
168,必死にネタを思い出す奴,461586,3556,174,910,2
169,漫才中、横柄な奴,405695,3479,133,488,2
170,南っていう奴〜しりとり〜,512566,6952,164,583,2
171,祭りしか言わん奴,388750,4796,217,684,2
172,ボスとジョボっていう奴,235148,3326,113,432,1
173,南っていう奴②,565667,7738,84,340,2
174,演歌でオーディション受ける奴,252850,2039,66,176,1
175,服小さい奴,298619,3744,37,182,1
176,フィリピン語で数学数える奴,1265931,20027,381,1478,2
177,手品成功してガッツポーズしまくる奴,768997,7514,174,412,2
178,歌うんハズい奴,1305724,10496,411,799,2
179,ハズレの先生が担任になった奴,6165125,72676,2293,5294,2
180,大尻•凡尻歌う奴,346631,4446,71,343,2
181,男子高校生のくせにアイドル目線な歌を作る奴,762977,8074,146,501,2
182,男なのに女子バレー部の試合呼ばれた奴,1617768,14420,1566,1663,2
183,江戸っ子探偵練習させられる奴,407016,4682,80,316,2
184,めっちゃ練習する奴,1990006,27691,668,2129,2
185,ハゲてもうてる奴,1200941,9052,268,586,2
186,何回も部屋入ってくる奴,1600974,18602,601,1345,2
187,くしゃみとゲップとあくび変な奴,2029271,44772,451,1804,2
188,「違いますよ」って言う奴,1755211,13204,449,640,2
189,声細い奴と声太い奴,1273769,20773,253,610,2
190,落語家か演歌歌手かわからん奴,126097,1545,36,178,1
191,怒鳴り返されたん気付かん奴,3016984,30793,769,1550,2
192,凄いショーする奴,282324,3848,114,753,1
193,本番だけ滑舌悪い奴,1701209,17375,361,925,2
194,チャラ男番長っていう奴,381588,3724,12277,721,2
195,どんどん案、出す奴,1871097,16270,446,1176,2
196,ちゃう奴呼んでもた奴,833065,6371,208,324,2
197,南っていう奴,1759972,28677,353,1245,2
198,若ハゲサンキューっていう芸名の奴,952085,6342,205,644,2
199,知らん奴に声かけられた奴,1755594,11796,386,576,2
200,押しドア、引きドア、間違える奴,5364633,50390,2115,1915,2
201,暇すぎて、面白いゲームする奴,1187611,14049,281,1050,2
202,落語長すぎる奴,970445,7094,241,603,2
203,ウルフルズに影響されている奴,1600555,9200,460,794,2
204,うろ覚えで路上ライブする奴,1575310,23664,419,1602,2
205,父の日のプレゼント受け取ってもらえへん奴,233915,3045,90,601,1
206,無頓着な奴,229092,3483,58,482,1
207,「えっ！」は当てるけど、「はっ！」は外す奴,657875,6202,306,709,2
208,活きのいい若者探してる奴,209504,2649,52,388,1
209,南っていう奴〜あっちむいてほい〜,195239,3629,45,405,1
210,半歩だけボケてる奴とツッコミたい奴,274350,3720,87,417,1
211,嫌なこと指摘される奴,466851,4467,193,576,2
212,また、女が苦手な奴,206150,2543,41,401,1
213,女が苦手な奴,288255,3853,79,390,1
214,チャラ男番長のネタを見る南っていう奴,217205,7519,7519,1318,1
215,つっこむとき声変わる奴,313311,3844,94,535,2
216,センス悪いプレゼントもらって泣く奴,234741,2490,48,415,1
217,裏がない、いい人過ぎる奴,463633,4995,128,405,2
218,ツッコミ重い奴,511828,5600,165,665,2
219,「定期的？」って言う奴と関東出身のツッコミ下手な奴,543907,11067,183,1983,2
220,数字が苦手な奴,859829,6998,312,860,2
221,ぞろぞろ来る奴,157342,2029,32,346,1
222,そりゃモノマネされる奴,475671,7452,165,1109,2
223,５８歳と２９歳の奴,369320,3726,216,576,2
224,腹ぺったんこの奴,146733,1814,25,169,1
225,無意味な質問、無視される奴,320473,3275,152,396,2
226,南くんと漫才する奴～変な校内放送ゲーム～,279993,7260,81,686,1
227,学校来てない子に盆栽を見せる奴,220643,3203,81,541,1
228,説教中に屁こいて黙る奴,440124,5454,145,589,2
229,変態を追い出す奴,461316,6341,148,702,2
230,裏方をゴミ扱いする奴,731102,7272,465,1151,2
231,南くん聞き取れる奴 パート3,151925,3865,39,496,1
232,５分後がうまい奴,226672,2295,90,514,1
233,自分でボケて自分でつっこむ奴,174173,2808,62,436,1
234,街頭インタビューされる関東出身のツッコミ下手な奴,332473,4712,79,873,2
235,バイト先でも関東出身のツッコミ下手な奴,747601,8849,332,1282,2
236,ノックを分かっていない奴,216081,2710,46,353,1
237,ツッコミできる奴を理解できへん奴,208463,2514,52,353,1
238,才能枯れた奴,200319,2261,58,330,1
239,社長みたいな奴,139972,1611,25,213,1
240,謎のミュージシャンと待ち合わせする奴,158404,1400,32,251,1
241,「スキンナー」って言う奴,153114,1656,37,243,1
242,自分に敬語使う奴,264775,4590,81,687,1
243,師匠にジェネレーションギャップ感じる奴,102037,1640,24,262,1
244,全ムチな奴,115927,2367,31,426,1
245,大便の記憶だけなくなった奴,161221,2744,38,390,1
246,「ボツボツ行くわ」って言う奴,191159,2678,40,401,1
247,息子の万引き疑う奴,272645,3607,86,671,1
248,万引きの注意、スタンガンな奴,280765,3557,56,399,1
249,ゴリラ走りな奴,71907,1489,21,295,0
250,街中でも腰引けてる奴,112225,1764,22,263,1
251,ナンデレスリングブニブンカケイノヤツガアツマルカケンキュウブに入部する奴,112102,1498,28,367,1
252,電車でもええ顔してる奴,155341,2293,36,387,1
253,ええ顔してる奴,129047,2404,31,440,1
254,ボディーミュージックの世界に送り込まれる奴,261292,3290,42,384,1
255,家庭教師のくせにうんこ行く奴,325224,3668,67,586,2
256,格安ホテルで相部屋なった奴,296616,3526,110,587,1
257,机、ピアノ代わりにする奴,105695,2029,23,440,1
258,クリーン田社長の身だしなみチェック受ける奴,149590,2345,29,387,1
259,モグリの意味がピンとこない奴,105731,1318,28,293,1
260,勾玉な奴,101472,2028,46,547,1
261,牢屋がイメージ通りな奴,129567,1850,40,371,1
262,どんどんやってみる奴,82359,1332,23,395,0
263,変質者を更生させる奴,227304,3632,59,562,1
264,面白さ以前にキツい奴,196335,2814,62,580,1
265,ツタだらけの家に住んでる奴,92434,1721,31,406,0
266,英会話教室でイラつく奴,239498,3062,69,548,1
267,「どうします？」って聞く奴,184437,2484,57,422,1
268,めっちゃ変な趣味ある奴,242558,3284,85,596,1
269,ペンにキャップついてるの気付かん奴,248488,4573,78,557,1
270,「どんくさい」を「どんくしぃ」と言う奴,148604,2606,31,522,1
271,わけあって、声でかかった奴,126181,2526,31,307,1
272,２世代でしょぼい発明した奴,347899,3386,98,403,2
273,口説き落とせそうって言いながら口説き落とす奴,136136,2124,33,174,1
274,隣人トラブル、エグい奴,385107,4918,120,621,2
275,最後の問題に挑む奴,232358,2499,49,340,1
276,ボイパに人生を捧げた奴,627401,5383,190,693,2
277,「定期的？」って聞く奴,284146,6213,79,807,1
278,ライブバージョンダウンロードしてしまった奴,125091,1879,31,434,1
279,客足が減った蕎麦屋を改革する奴,190091,2382,41,388,1
280,解散の判断早い奴,243038,3223,65,577,1
281,ちっちゃい荷物届く奴,125221,1770,35,297,1
282,コメント欄を読む奴,143553,3651,45,938,1
283,謎の行動を思春期の一言で片付ける奴,128689,2872,36,631,1
284,学校でのエアガン許可されてる奴,261155,4379,126,536,1
285,気づかないうちに痩せてた奴,194833,2453,64,392,1
286,「えぇーぇ」って言う奴,212125,3455,66,512,1
287,小ネタ思い付くと呼び出す奴,197775,2522,66,459,1
288,邪魔物の腹殴る奴,292973,3620,67,452,1
289,延長線上に似てる奴がいる奴,125004,2964,67,390,1
290,ガリガリ日記を書く、ガリガリ力士の奴,288493,4375,136,682,1
291,M-1決勝でやったネタ    国名分けっこやる奴,3008641,54756,1206,4184,2
292,うっすら寒いから会社休む奴,554947,10943,143,791,2
293,バレエ教室やってる奴,110789,1451,30,216,1
294,洗脳されへん奴,279708,3772,78,390,1
295,０点チャンピオンが何回浪人してるか当てる奴,154194,1919,47,357,1
296,「行かないですよ」って言う奴,219162,2421,49,383,1
297,アカン奴,193687,2928,70,330,1
298,「which your choice」って言う奴,148802,2661,41,378,1
299,嫌な奴やと思ったらいい奴,374711,4616,105,434,2
300,「あー来るんじゃなかった」って言う奴,152730,1981,28,269,1
301,「安心させてよ～」って言う奴,167508,2313,40,318,1
302,目合う可能性高いところに座る奴,216042,2951,46,334,1
303,出身が違うから交じり合わない奴,181067,2603,85,571,1
304,笹かまな奴,164896,1975,42,307,1
305,色々あった奴,230193,2866,45,283,1
306,態度一変する奴〜GK川島〜,167702,1755,45,244,1
307,キャラ抜くまで契約書にサインしない奴,184308,1794,38,207,1
308,「今なんつった？」って言う奴,116246,1838,39,242,1
309,屁こいて固まる奴,52159,1136,14,237,0
310,いい先生やのに･･･な奴,247807,3388,38,340,1
311,殴る前に袖めくる奴,309009,3325,102,418,2
312,飲みに誘ったくせに喋らん奴,506227,4478,147,631,2
313,怒り分散させる奴,130677,3671,23,313,1
314,トイレ借りる奴,218363,2777,41,349,1
315,挨拶下手な奴,177223,2408,35,211,1
316,記者会見する三流大学生の奴,170042,2073,52,320,1
317,ほんまにヤバい奴,259582,3137,63,369,1
318,バンドメンバーから外されそうな奴,185718,2255,50,236,1
319,１対１、苦手な奴,156412,2133,34,298,1
320,大丈夫じゃないのに大丈夫ですっていう奴,220914,2895,48,330,1
321,デコ狭い奴,101952,1236,47,262,1
322,ボツ漫才する奴（色）,244877,2441,93,408,1
323,速乾した奴,155641,1970,37,331,1
324,悪気なく笑いとる奴,400971,3866,125,363,2
325,突然、注意する奴,255429,2596,43,389,1
326,タメ口な奴,340741,4092,102,559,2
327,ツッコミエコーかかる奴,157508,2381,45,344,1
328,サラッとキツいこと言う奴,349205,4042,82,337,2
329,じわじわ引く奴,227431,2024,39,245,1
330,すぐ方針変える奴,231580,2375,49,266,1
331,説明下手な奴,306985,2643,67,359,2
332,最初笑ってたのに、じわじわキレる奴,363722,4401,87,499,2
333,天才すぎて変な奴,467206,5031,205,965,2
334,うるさ過ぎてかたまる奴,142900,1901,35,291,1
335,ヒント与えない奴,291328,2827,135,521,1
336,人まちがいしたのに恥ずかしくない奴,396310,4296,151,481,2
337,共通点多いのに飯断る奴,660959,5725,150,609,2
338,けん玉兄弟やらされてる奴(楽屋),147308,2882,55,432,1
339,けん玉兄弟の奴,157388,2759,172,729,1
340,ちょけた出しもんして後悔する奴,191228,2908,63,379,1
341,忙しくないのバレる奴,293801,2932,101,342,1
342,角刈りフクロウな奴,185360,2679,53,313,1
343,鮎に屁を嗅がせる奴,102872,2076,29,285,1
344,絶対受かったと思った奴,290597,2904,62,168,1
345,シュールなネタしそうな奴,593271,9738,186,1185,2
346,客にドリンクこぼす前に店やめる奴,221373,2664,41,228,1
347,客にドリンクこぼした瞬間店やめる奴,482478,6973,96,505,2
348,新任早々お笑い指導する奴,500558,4175,124,448,2
349,漫才に賭ける奴③,206841,2083,54,368,1
350,漫才に賭ける奴①,355652,2646,96,371,2
351,参観日で地獄見る奴,348955,3585,98,484,2
352,ボケたい奴,774927,5269,187,547,2
353,落語で結婚祝いする奴,148360,1325,47,281,1
354,無理やりヘンなことさせる奴,247068,2728,62,224,1
355,価値観大事にする奴①,285497,1950,76,269,1
356,ラグビー教える奴,417589,4596,60,291,2
357,初めてカラオケ行く奴 06:00〜,200136,1906,27,236,1
358,初めてカラオケ行く奴 21:00〜06:00,244292,2182,42,335,1
359,初めてカラオケ行く奴 19:00〜20:00,554060,4639,126,471,2
360,オーディションで死ぬ奴,382594,3563,63,315,2
361,面接中、おにぎり食う奴,569171,5620,132,506,2
362,ツッコミ講座する奴 1,123456,1544,26,197,1
363,ONとOFF、激しい奴,514852,7070,88,367,2
364,「ほんまに行くんか？」って言う奴,383519,4742,77,377,2
365,絶対、禿げてる奴,426755,4418,108,317,2
366,死にかけてるの気付かん奴,301854,3894,67,376,2
367,ガチガチやんって言う奴,220020,2045,75,263,1
368,クラス全員ツッコミな奴,176201,2717,47,192,1
369,ミュージシャンか漫才師かわからん奴,123577,1256,43,242,1
370,力ずくで耐える奴,684862,6780,163,361,2
371,二人で授業する奴,714521,8995,300,922,2
372,才能ありそうな奴,540777,4426,108,338,2
373,関東出身のツッコミ下手な奴,1458487,17461,434,1763,2
374,しょうもない理由で喧嘩する奴,171001,2733,42,273,1
375,スタッフと仲良すぎる奴,151162,1438,32,123,1
376,やきもち焼く奴,228401,2698,42,184,1
377,脚本家って言えへん奴,352689,4352,89,347,2
378,｢あ｣｢え｣｢お｣っていう奴,109477,1658,37,141,1
379,ゲームとしてガチでピンポンパンゲームやってみる奴(攻守交代),46151,950,20,87,0
380,練習なしで久々にピンポンパンゲームやってみた奴,1067784,13032,303,598,2
381,うそうそって言う奴,215541,1992,39,132,1
382,話すの下手な奴,181480,1760,45,142,1
383,葬式で故人偲んでるけど変なことする奴,87137,1462,37,226,0
384,守るけど傷つける奴,368858,3432,71,165,2
385,嘘つき通す奴〜CD〜,460680,3559,95,286,2
386,機嫌悪い生徒に急に怒り出す奴,547337,5656,91,370,2
387,先生のこと普段あだ名で呼んでるのバレる奴,384272,3288,61,241,2
388,家庭教師のくせに鼻ほじる奴,121845,2645,30,161,1
389,股からピン球落とす奴,107525,1934,45,243,1
390,ゲップのせいで泣く奴,111993,1733,27,119,1
391,自分の名前まちがいまくる奴,257618,3588,45,258,1
392,気持ち悪がってるけど気持ち悪いほうの奴,285193,3642,72,262,1
393,司会者のくせに全然しゃべらない奴,137109,1288,36,157,1
394,会話のリズム合わない奴,227737,3535,48,310,1
395,ボロクソ言われて感心する奴,416778,4298,80,261,2
396,珍しい形でファンに支持されてる奴,125807,1430,25,73,1
397,家庭教師のクセに顔キツイ奴,273100,2755,43,261,1
398,キャーて言う奴,156048,2713,38,205,1
399,友達のこと信用してない奴,442430,3985,99,176,2
400,ちいさな猫を召喚できたなら,5131,83,7,14,0
401,五百年目のマリオン,3793,72,3,11,0
402,めしぬま。,6949,80,11,12,0
403,マヤさんの夜更かし,4775,84,1,7,0
404,嘘をつき通す奴〜ピザ〜,4569666,24268,1059,1153,2
405,逆ー!!!,2530100,16542,626,803,2
406,屁我慢してる面接官,770035,5271,226,492,2
407,おばはん絡み,697092,5469,306,587,2
408,男か女かわからん奴,2113113,22589,547,1261,2
409,新入社員説明会,1339641,9736,405,733,2
410,屁の足音,800380,4931,166,256,2
411,角刈りのくせにクラスのメインになろうとする奴,4292332,30865,2101,2824,2
412,めっちゃふざける奴,3988642,42283,1117,2655,2
413,びっくりした話,1435688,6976,226,448,2
414,芝居観に行った奴ら,348881,2398,80,122,2
415,イス取りゲーム,441705,2782,109,181,2
416,理解不能者〜病院〜,971112,8194,211,412,2
417,ハンドイートマン,593524,7846,104,541,2
418,変な奴,1855656,10746,516,931,2
419,演歌,386464,3160,51,206,2
420,ため口,4523120,21869,1469,1550,2
421,落語,539269,2467,92,128,2
422,水泳部　部活紹介２００２,123876,1998,17,148,1
423,幼なじみ,2529803,13902,494,688,2
424,すごい展開,1316606,11224,308,482,2
425,Kumo,258318,3451,51,207,1
426,モジャモジャルジャル,18258,277,11,34,0
427,モジャモジャルジャル,21923,144,28,14,0
428,柔道,242509,1924,64,270,1
429,腕相撲,1168690,4066,311,241,2
430,熱烈kiss,756574,7901,149,604,2
431,しつこいひったくり,550337,4635,115,228,2
432,同い年家庭教師,3025885,19824,613,1028,2
433,しりとり,145617,828,21,75,1
434,変装,1103393,5440,266,225,2
435,変なキャラ練習させられてる奴,763603,5402,125,245,2
436,水泳部　部活紹介　１９９５,224053,1934,72,250,1
437,人間シュレッダー,1007368,5879,329,577,2
438,タレソカレ,2961,66,1,7,0
439,よこしまな江口君,4786,77,0,10,0
440,文豪アクト,2050,43,0,4,0
441,疫病神とバカ女神,2017,37,0,5,0
442,しあわせのポポチ,2274,70,0,7,0
443,フルーチェが牛乳と混ざってだんだん固まっていくようなしりとり,42195,931,6,58,0
444,グレンデル,1538,39,3,1,0
445,たべものけもの,1751,40,0,2,0
446,本物のオッチャン到着,3126,54,1,4,0
447,オッチャンの話５,4017,65,1,7,0
448,オッチャンの話４,4654,70,1,4,0
449,オッチャンの話３,5638,102,2,6,0
450,オッチャンの話２,4222,104,4,14,0
451,オッチャンがいない,5512,83,1,8,0
452,笑けずりの裏側,36887,134,3,13,0
